Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Rest of UK,28675,30990,36650,34195,36445,41740,42425,42885,45100,45300,46165,47635,47790,50435,47025,49950,51190
International,20585,19630,19140,18705,19615,20735,22590,22900,24385,27515,28255,29940,29220,30185,31145,32705,33830
EU,11520,10705,9820,9080,9615,9920,11140,10870,10890,13370,12810,13370,12350,13195,13505,15455,16150
Non-EU,9060,8920,9315,9615,9995,10815,11450,12025,13485,14140,15435,16575,16860,16990,17505,17250,17675
